Object ID,Name,:collectionID,:format_width,:format_height,:quality,:legend,:description (pl),:description (de),:description (en),:references,:belongsTo,:belongsTo - Object ID,crm:P108i_was_produced_by,:classification,:hasDigitalRepresentation
22478169,MG76 Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss,:EWA76_MG76,175 mm,120 mm,sehr gut,"Basar in Almar, 1976. Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss","Bala khana (górny dom) został wzniesiony na dachu niektórych dukanha. Ponieważ strome schody prowadzą bezpośrednio z ulicy, wydaje się, że jest to herbaciarnia (chaikhana). Wskazuje na to również dekoracja powierzchni ścian. Ze względu na położenie na wzniesieniu spodziewany jest przeciąg chłodzący; Goście mają również widok na ulicę z otwartego tarasu przed domem.","Auf dem Dach einiger dukanha wurde ein bala khana (Oberhaus) errichtet. Da direkt von der Strasse eine steile Treppe hinaufführt, scheint es sich um ein Teehaus (chaikhana) zu handeln. Auch die Dekoration der Wandflächen deutet darauf hin. Durch die erhöhte Lage hofft man auf einen kühlenden Luftzug; auch bietet man den Gästen von der vorgelagerten offenen Terrasse einen Blick auf das Geschehen auf der Strasse.","A bala khana (upper house) was erected on the roof of some dukanha. Since a steep staircase leads up directly from the street, it seems to be a tea house (chaikhana). The decoration of the wall surfaces also indicates this. Due to the elevated location, it is hoped that there will be a cooling draught; guests are also offered a view of the action on the street from the open terrace in front.","Wiebe, D. (1979): Strukturwandlungen afghanischer Mittelpunktsiedlungen unter dem Einfluss ausländi-scher Infrastrukturprojekte. Erdkunde 33(3), pp. 204–215. - The author describes changes in the functioning of traditional tea houses driven by economic factors.",:EWA76_Collection,22478147,:EWA76_Qaysar_photography,:Urban,"""http://localhost:8080/MG76.png""^^xsd:anyURI"
22478169,MG76 Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss,:EWA76_MG76,175 mm,120 mm,sehr gut,"Basar in Almar, 1976. Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss","Bala khana (górny dom) został wzniesiony na dachu niektórych dukanha. Ponieważ strome schody prowadzą bezpośrednio z ulicy, wydaje się, że jest to herbaciarnia (chaikhana). Wskazuje na to również dekoracja powierzchni ścian. Ze względu na położenie na wzniesieniu spodziewany jest przeciąg chłodzący; Goście mają również widok na ulicę z otwartego tarasu przed domem.","Auf dem Dach einiger dukanha wurde ein bala khana (Oberhaus) errichtet. Da direkt von der Strasse eine steile Treppe hinaufführt, scheint es sich um ein Teehaus (chaikhana) zu handeln. Auch die Dekoration der Wandflächen deutet darauf hin. Durch die erhöhte Lage hofft man auf einen kühlenden Luftzug; auch bietet man den Gästen von der vorgelagerten offenen Terrasse einen Blick auf das Geschehen auf der Strasse.","A bala khana (upper house) was erected on the roof of some dukanha. Since a steep staircase leads up directly from the street, it seems to be a tea house (chaikhana). The decoration of the wall surfaces also indicates this. Due to the elevated location, it is hoped that there will be a cooling draught; guests are also offered a view of the action on the street from the open terrace in front.","Wiebe, D. (1981): Probleme stadtgeographischer Forschung in Afghanistan: Wandel und Beharrung afghanischer Provinzstädte. In: C. Rathjens (ed.), Neue Forschungen in Afghanistan, Opladen, pp. 149–162. - The author describes changes in the functioning of traditional tea houses driven by economic factors.",:EWA76_Collection,22478147,:EWA76_Qaysar_photography,:Urban,"""http://localhost:8080/MG76.png""^^xsd:anyURI"
22478169,MG76 Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss,:EWA76_MG76,175 mm,120 mm,sehr gut,"Basar in Almar, 1976. Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss","Bala khana (górny dom) został wzniesiony na dachu niektórych dukanha. Ponieważ strome schody prowadzą bezpośrednio z ulicy, wydaje się, że jest to herbaciarnia (chaikhana). Wskazuje na to również dekoracja powierzchni ścian. Ze względu na położenie na wzniesieniu spodziewany jest przeciąg chłodzący; Goście mają również widok na ulicę z otwartego tarasu przed domem.","Auf dem Dach einiger dukanha wurde ein bala khana (Oberhaus) errichtet. Da direkt von der Strasse eine steile Treppe hinaufführt, scheint es sich um ein Teehaus (chaikhana) zu handeln. Auch die Dekoration der Wandflächen deutet darauf hin. Durch die erhöhte Lage hofft man auf einen kühlenden Luftzug; auch bietet man den Gästen von der vorgelagerten offenen Terrasse einen Blick auf das Geschehen auf der Strasse.","A bala khana (upper house) was erected on the roof of some dukanha. Since a steep staircase leads up directly from the street, it seems to be a tea house (chaikhana). The decoration of the wall surfaces also indicates this. Due to the elevated location, it is hoped that there will be a cooling draught; guests are also offered a view of the action on the street from the open terrace in front.","Fischer, L. (1972): Ernährung und neuzeitlicher Ernährungswandel in Afghanistan. In: W. Kraus (ed.), Steigerung der landwirtschaftlichen Produktion und ihre Weiterverarbeitung in Afghanistan, Afghanische Studien 6, pp. 22–56.",:EWA76_Collection,22478147,:EWA76_Qaysar_photography,:Urban,"""http://localhost:8080/MG76.png""^^xsd:anyURI"
22478169,MG76 Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss,:EWA76_MG76,175 mm,120 mm,sehr gut,"Basar in Almar, 1976. Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss","Bala khana (górny dom) został wzniesiony na dachu niektórych dukanha. Ponieważ strome schody prowadzą bezpośrednio z ulicy, wydaje się, że jest to herbaciarnia (chaikhana). Wskazuje na to również dekoracja powierzchni ścian. Ze względu na położenie na wzniesieniu spodziewany jest przeciąg chłodzący; Goście mają również widok na ulicę z otwartego tarasu przed domem.","Auf dem Dach einiger dukanha wurde ein bala khana (Oberhaus) errichtet. Da direkt von der Strasse eine steile Treppe hinaufführt, scheint es sich um ein Teehaus (chaikhana) zu handeln. Auch die Dekoration der Wandflächen deutet darauf hin. Durch die erhöhte Lage hofft man auf einen kühlenden Luftzug; auch bietet man den Gästen von der vorgelagerten offenen Terrasse einen Blick auf das Geschehen auf der Strasse.","A bala khana (upper house) was erected on the roof of some dukanha. Since a steep staircase leads up directly from the street, it seems to be a tea house (chaikhana). The decoration of the wall surfaces also indicates this. Due to the elevated location, it is hoped that there will be a cooling draught; guests are also offered a view of the action on the street from the open terrace in front.","Centlivres-Demont, M. (1976): Popular Art in Afghanistan, Graz: Examples of wall paintings in teahouses.",:EWA76_Collection,22478147,:EWA76_Qaysar_photography,:Urban,"""http://localhost:8080/MG76.png""^^xsd:anyURI"
22478169,MG76 Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss,:EWA76_MG76,175 mm,120 mm,sehr gut,"Basar in Almar, 1976. Ausschnitt: Die Terrasse mit Wandmalerei im Obergeschoss","Bala khana (górny dom) został wzniesiony na dachu niektórych dukanha. Ponieważ strome schody prowadzą bezpośrednio z ulicy, wydaje się, że jest to herbaciarnia (chaikhana). Wskazuje na to również dekoracja powierzchni ścian. Ze względu na położenie na wzniesieniu spodziewany jest przeciąg chłodzący; Goście mają również widok na ulicę z otwartego tarasu przed domem.","Auf dem Dach einiger dukanha wurde ein bala khana (Oberhaus) errichtet. Da direkt von der Strasse eine steile Treppe hinaufführt, scheint es sich um ein Teehaus (chaikhana) zu handeln. Auch die Dekoration der Wandflächen deutet darauf hin. Durch die erhöhte Lage hofft man auf einen kühlenden Luftzug; auch bietet man den Gästen von der vorgelagerten offenen Terrasse einen Blick auf das Geschehen auf der Strasse.","A bala khana (upper house) was erected on the roof of some dukanha. Since a steep staircase leads up directly from the street, it seems to be a tea house (chaikhana). The decoration of the wall surfaces also indicates this. Due to the elevated location, it is hoped that there will be a cooling draught; guests are also offered a view of the action on the street from the open terrace in front.","Balland, D. and M. Bazin (1990): Čāy. In: Encyclopaedia Iranica, V(1), pp. 103–107.",:EWA76_Collection,22478147,:EWA76_Qaysar_photography,:Urban,"""http://localhost:8080/MG76.png""^^xsd:anyURI"
22478143,MG69 Alter Basar in Almar,:EWA76_MG69,175 mm,120 mm,sehr gut,Basar in Almar,"W starej części bazaru Almar dukanha (sklepy) otwarte na ulicę są nadal tradycyjnie wykonane z gliny. Maty łykowe chronią przed silnym nasłonecznieniem. Na pierwszym planie tragarz w typowym wyściełanym i podartym ubraniu roboczym siedzi w cieniu sosny na ulicy. Owija linę na plecach wokół ładunku i prowadzi ją po czole, które jest również wyściełane, gdy pochyla się do przodu i dźwiga do 100 kg.","Im alten Teil des Basars von Almar sind die zur Strasse offenen dukanha (Läden) noch traditionell aus Lehm erstellt. Bastmatten schützen vor der starken Sonneneinstrahlung. Im Vordergrund sitzt ein Lastenträger in typisch gepolsterter und zerschlissener Arbeitskleidung im Schatten einer Föhre auf der Strasse. Das Seil auf seinem Rücken schlingt er um die Last und führt es über seine ebenfalls gepolsterte Stirne, wenn er stark nach vorn gebeugt bis zu 100 kg trägt.","In the old part of the Almar bazaar, the dukanha (shops) which are open to the street are still traditionally made of clay. Bast mats protect against the strong sunlight. In the foreground, a porter in typical padded and tattered working clothes sits in the shade of a pine tree on the street. He wraps the rope on his back around the load and guides it over his forehead, which is also padded, when he is leaning forward carrying a load of up to 100 kg.","Tapper, R. and N. Lindisfarne-Tapper (2020): Afghan Village Voices: Stories from a Tribal Community, pp. 4, 115–116, 132, 222–224: on bazaar and nomads.",:EWA76_Collection,22478147,:EWA76_Almar_Photography,:Urban,"""http://localhost:8080/MG69.png""^^xsd:anyURI"
22478143,MG69 Alter Basar in Almar,:EWA76_MG69,175 mm,120 mm,sehr gut,Basar in Almar,"W starej części bazaru Almar dukanha (sklepy) otwarte na ulicę są nadal tradycyjnie wykonane z gliny. Maty łykowe chronią przed silnym nasłonecznieniem. Na pierwszym planie tragarz w typowym wyściełanym i podartym ubraniu roboczym siedzi w cieniu sosny na ulicy. Owija linę na plecach wokół ładunku i prowadzi ją po czole, które jest również wyściełane, gdy pochyla się do przodu i dźwiga do 100 kg.","Im alten Teil des Basars von Almar sind die zur Strasse offenen dukanha (Läden) noch traditionell aus Lehm erstellt. Bastmatten schützen vor der starken Sonneneinstrahlung. Im Vordergrund sitzt ein Lastenträger in typisch gepolsterter und zerschlissener Arbeitskleidung im Schatten einer Föhre auf der Strasse. Das Seil auf seinem Rücken schlingt er um die Last und führt es über seine ebenfalls gepolsterte Stirne, wenn er stark nach vorn gebeugt bis zu 100 kg trägt.","In the old part of the Almar bazaar, the dukanha (shops) which are open to the street are still traditionally made of clay. Bast mats protect against the strong sunlight. In the foreground, a porter in typical padded and tattered working clothes sits in the shade of a pine tree on the street. He wraps the rope on his back around the load and guides it over his forehead, which is also padded, when he is leaning forward carrying a load of up to 100 kg.","Sakata, H.L. (2002): Music in the Mind: The Concepts of Music and Musician in Afghanistan, pp. 12–34: Although the monograph is dedicated to music, the author discusses in detail three urban types, including three models of bazaar activity.",:EWA76_Collection,22478147,:EWA76_Almar_Photography,:Urban,"""http://localhost:8080/MG69.png""^^xsd:anyURI"
22478143,MG69 Alter Basar in Almar,:EWA76_MG69,175 mm,120 mm,sehr gut,Basar in Almar,"W starej części bazaru Almar dukanha (sklepy) otwarte na ulicę są nadal tradycyjnie wykonane z gliny. Maty łykowe chronią przed silnym nasłonecznieniem. Na pierwszym planie tragarz w typowym wyściełanym i podartym ubraniu roboczym siedzi w cieniu sosny na ulicy. Owija linę na plecach wokół ładunku i prowadzi ją po czole, które jest również wyściełane, gdy pochyla się do przodu i dźwiga do 100 kg.","Im alten Teil des Basars von Almar sind die zur Strasse offenen dukanha (Läden) noch traditionell aus Lehm erstellt. Bastmatten schützen vor der starken Sonneneinstrahlung. Im Vordergrund sitzt ein Lastenträger in typisch gepolsterter und zerschlissener Arbeitskleidung im Schatten einer Föhre auf der Strasse. Das Seil auf seinem Rücken schlingt er um die Last und führt es über seine ebenfalls gepolsterte Stirne, wenn er stark nach vorn gebeugt bis zu 100 kg trägt.","In the old part of the Almar bazaar, the dukanha (shops) which are open to the street are still traditionally made of clay. Bast mats protect against the strong sunlight. In the foreground, a porter in typical padded and tattered working clothes sits in the shade of a pine tree on the street. He wraps the rope on his back around the load and guides it over his forehead, which is also padded, when he is leaning forward carrying a load of up to 100 kg.","Bonine, M.E. (1989): Bazar. In: Encyclopaedia Iranica, IV(1), pp. 21–25.",:EWA76_Collection,22478147,:EWA76_Almar_Photography,:Urban,"""http://localhost:8080/MG69.png""^^xsd:anyURI"
22478143,MG69 Alter Basar in Almar,:EWA76_MG69,175 mm,120 mm,sehr gut,Basar in Almar,"W starej części bazaru Almar dukanha (sklepy) otwarte na ulicę są nadal tradycyjnie wykonane z gliny. Maty łykowe chronią przed silnym nasłonecznieniem. Na pierwszym planie tragarz w typowym wyściełanym i podartym ubraniu roboczym siedzi w cieniu sosny na ulicy. Owija linę na plecach wokół ładunku i prowadzi ją po czole, które jest również wyściełane, gdy pochyla się do przodu i dźwiga do 100 kg.","Im alten Teil des Basars von Almar sind die zur Strasse offenen dukanha (Läden) noch traditionell aus Lehm erstellt. Bastmatten schützen vor der starken Sonneneinstrahlung. Im Vordergrund sitzt ein Lastenträger in typisch gepolsterter und zerschlissener Arbeitskleidung im Schatten einer Föhre auf der Strasse. Das Seil auf seinem Rücken schlingt er um die Last und führt es über seine ebenfalls gepolsterte Stirne, wenn er stark nach vorn gebeugt bis zu 100 kg trägt.","In the old part of the Almar bazaar, the dukanha (shops) which are open to the street are still traditionally made of clay. Bast mats protect against the strong sunlight. In the foreground, a porter in typical padded and tattered working clothes sits in the shade of a pine tree on the street. He wraps the rope on his back around the load and guides it over his forehead, which is also padded, when he is leaning forward carrying a load of up to 100 kg.","Adamec, L. (1979): Mazar-i-Sharif and North-Central Afghanistan, S. 59-60: Almar, a subdistrict of Maimana, lying west of the town of that name.",:EWA76_Collection,22478147,:EWA76_Almar_Photography,:Urban,"""http://localhost:8080/MG69.png""^^xsd:anyURI"
22478155,MG 70 Neuer Basar in Almar,:EWA76_MG70,168 mm,122 mm,"sehr gut, starker Kontrast","Basar in Almar, 76","W nowocześniejszej części bazaru Almar sklepy i warsztaty znajdują się na parterze i można je odgrodzić od ulicy. Towar jest często umieszczany przed sklepem, jak w przypadku tego garncarza i sprzedawcy oleju napędowego obok. Na ulicy mężczyzna niesie dwa wiadra przykryte. Prawdopodobnie zawierają mast (jogurt) lub serek śmietankowy (panir-e kham).","Im moderneren Teil des Basars von Almar sind die Läden und Werkstätten ebenerdig und können zur Strasse abgeschlossen werden. Die Waren werden häufig, wie bei diesem Töpfer und dem danebenliegenden Dieselöl-Händler, vor dem Laden aufgestellt. Auf der Strasse trägt ein Mann zwei mit Tüchern zugedeckte Eimer. Sie enthalten vermutlich mast (Yoghurt) oder Frischkäse (panir-e kham).","In the more modern part of the Almar bazaar, the shops and workshops are at ground level and can be closed off from the street. The goods are often placed in front of the shop, as in the case of this potter and the diesel oil merchant next door. On the street, a man carries two buckets covered with cloths. They probably contain mast (yoghurt) or cottage cheese (panir-e kham).","Ferdinand, K. (1969): Nomadism in Afghanistan: With an Appendix on Milk Products. In: L. Földes (ed.), Viehwirtschaft and Hirtenkultur: Ethnographische Studien, Budapest, pp. 127–160.",:EWA76_Collection,22478147,:EWA76_Almar_Photography,:Urban,"""http://localhost:8080/MG70.png""^^xsd:anyURI"
